benchmark,model_key,policy,metric,value,rank,n_tasks
SWE-bench,devstral24b,SS-p,billed_input_ratio,0.8831278849429384,6.0,100
SWE-bench,devstral24b,TRC+SU,billed_input_ratio,0.9191352581535164,11.0,100
SWE-bench,devstral24b,TRC+SS,billed_input_ratio,0.8905022536129515,7.0,100
SWE-bench,devstral24b,OTRC,billed_input_ratio,0.9050462691685182,10.0,100
SWE-bench,devstral24b,OTRC+TR,billed_input_ratio,0.8957818190988573,9.0,100
SWE-bench,devstral24b,OTRC+SU-p,billed_input_ratio,0.8615404628945449,3.0,100
SWE-bench,devstral24b,OTRC+SS-p,billed_input_ratio,0.849699388985975,2.0,100
SWE-bench,glm47flash,FC,resolve,40.99999999999999,3.0,100
SWE-bench,glm47flash,TR,resolve,38.33333333333333,6.0,100
SWE-bench,glm47flash,TRC,resolve,38.66666666666668,4.5,100
SWE-bench,glm47flash,SU,resolve,28.33333333333332,13.0,100
SWE-bench,glm47flash,SU-p,resolve,41.33333333333334,1.5,100
SWE-bench,glm47flash,SS,resolve,29.00000000000001,12.0,100
SWE-bench,glm47flash,SS-p,resolve,37.0,7.0,100
SWE-bench,glm47flash,TRC+SU,resolve,36.33333333333333,8.5,100
SWE-bench,glm47flash,TRC+SS,resolve,38.66666666666666,4.5,100
SWE-bench,glm47flash,OTRC,resolve,41.333333333333336,1.5,100
SWE-bench,glm47flash,OTRC+TR,resolve,36.33333333333333,8.5,100
SWE-bench,glm47flash,OTRC+SU-p,resolve,35.66666666666667,10.0,100
SWE-bench,glm47flash,OTRC+SS-p,resolve,33.66666666666666,11.0,100
SWE-bench,glm47flash,FC,latency_ratio,1.0,5.0,96
SWE-bench,glm47flash,TR,latency_ratio,1.0355726834260066,7.0,95
SWE-bench,glm47flash,TRC,latency_ratio,0.9575992781922084,2.0,96
SWE-bench,glm47flash,SU,latency_ratio,1.2639039873561744,12.0,76
SWE-bench,glm47flash,SU-p,latency_ratio,1.2388727578993537,10.0,94
SWE-bench,glm47flash,SS,latency_ratio,1.2556464908647458,11.0,72
SWE-bench,glm47flash,SS-p,latency_ratio,1.3146674277981278,13.0,91
SWE-bench,glm47flash,TRC+SU,latency_ratio,0.9755357707987332,4.0,90
SWE-bench,glm47flash,TRC+SS,latency_ratio,1.0132885698936618,6.0,92
SWE-bench,glm47flash,OTRC,latency_ratio,0.9434607593297212,1.0,96
SWE-bench,glm47flash,OTRC+TR,latency_ratio,0.966993653992885,3.0,96
SWE-bench,glm47flash,OTRC+SU-p,latency_ratio,1.0587765021240445,8.0,95
SWE-bench,glm47flash,OTRC+SS-p,latency_ratio,1.1741138974423797,9.0,94
SWE-bench,glm47flash,FC,billed_input_ratio,1.0,13.0,96
SWE-bench,glm47flash,TR,billed_input_ratio,0.780804924945151,7.0,95
SWE-bench,glm47flash,TRC,billed_input_ratio,0.70045886340136,3.0,96
SWE-bench,glm47flash,SU,billed_input_ratio,0.6352491416778608,1.0,76
SWE-bench,glm47flash,SU-p,billed_input_ratio,0.791064795876451,9.0,94
SWE-bench,glm47flash,SS,billed_input_ratio,0.6549087193305944,2.0,72
SWE-bench,glm47flash,SS-p,billed_input_ratio,0.865989943987536,12.0,91
SWE-bench,glm47flash,TRC+SU,billed_input_ratio,0.7633930210131786,5.0,90
SWE-bench,glm47flash,TRC+SS,billed_input_ratio,0.7671734388502243,6.0,92
SWE-bench,glm47flash,OTRC,billed_input_ratio,0.7817494047428413,8.0,96
SWE-bench,glm47flash,OTRC+TR,billed_input_ratio,0.718759623932578,4.0,96
SWE-bench,glm47flash,OTRC+SU-p,billed_input_ratio,0.7978584201097718,10.0,95
SWE-bench,glm47flash,OTRC+SS-p,billed_input_ratio,0.8323373728107181,11.0,94
Terminal-Bench,qwen35b,FC,resolve,40.83333333333332,2.0,40
Terminal-Bench,qwen35b,TR,resolve,39.16666666666667,3.0,40
Terminal-Bench,qwen35b,TRC,resolve,33.333333333333336,5.5,40
Terminal-Bench,qwen35b,SU,resolve,27.500000000000007,11.0,40
Terminal-Bench,qwen35b,SU-p,resolve,33.333333333333336,5.5,40
Terminal-Bench,qwen35b,SS,resolve,28.33333333333333,9.5,40
Terminal-Bench,qwen35b,SS-p,resolve,28.33333333333333,9.5,40
Terminal-Bench,qwen35b,TRC+SU,resolve,26.66666666666667,12.0,40
Terminal-Bench,qwen35b,TRC+SS,resolve,35.00000000000001,4.0,40
Terminal-Bench,qwen35b,OTRC,resolve,41.66666666666666,1.0,40
Terminal-Bench,qwen35b,OTRC+TR,resolve,30.0,7.0,40
Terminal-Bench,qwen35b,OTRC+SU-p,resolve,25.833333333333336,13.0,40
Terminal-Bench,qwen35b,OTRC+SS-p,resolve,29.166666666666664,8.0,40
Terminal-Bench,qwen35b,FC,latency_ratio,1.0,1.0,34
Terminal-Bench,qwen35b,TR,latency_ratio,1.3014225371358754,4.0,33
Terminal-Bench,qwen35b,TRC,latency_ratio,1.2502987482048311,3.0,33
Terminal-Bench,qwen35b,SU,latency_ratio,2.347749166006983,13.0,25
Terminal-Bench,qwen35b,SU-p,latency_ratio,1.3815519298724306,5.0,30
Terminal-Bench,qwen35b,SS,latency_ratio,1.9010350306139832,12.0,28
