task_name,primitive,token_budget,run_num,repo,resolved,exit_status,patch_generated,failure_mode,step_count,total_tokens_consumed,total_prompt_tokens,total_completion_tokens,latency_e2e_s,latency_llm_s,mean_step_latency_s,compression_events,mean_compression_ratio,summarization_prompt_tokens,summarization_latency_s,trc_fallback_events,online_trc_clears,ablation,depth
django__django-11066,OTRC+SS-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,910565,897203,13362,409.27,380.314,3.043,1,0.3336105797221991,9077,10.588,0,120,qwen25-7b-budgeted-12000,0.5
django__django-11066,OTRC+TR,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1004782,991214,13568,413.99,396.016,3.168,1,0.49135863722814854,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-11066,TRC,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1008168,993909,14259,437.47,416.51,3.332,2,0.49730724633911394,0,0.0,2,0,qwen25-7b-budgeted-12000,0.5
django__django-11292,OTRC+SS-partial,12000,1,django__django,,Submitted,False,silent_crash,12,27084,25899,1185,39.69,32.608,2.717,0,1.0,0,0.0,0,7,qwen25-7b-budgeted-12000,0.5
django__django-11299,TR,12000,1,django__django,,Submitted,False,silent_crash,7,17993,17439,554,24.01,16.245,2.321,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11292,OTRC+TR,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,939857,928383,11474,366.55,347.405,2.779,1,0.4927620632279534,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-11292,OTRC+SS-partial,12000,2,django__django,False,Submitted,True,submitted_unresolved,10,29236,28316,920,33.73,27.217,2.722,0,1.0,0,0.0,0,5,qwen25-7b-budgeted-12000,0.5
django__django-11292,OTRC+SU-partial,12000,2,django__django,,Submitted,False,silent_crash,24,65253,63205,2048,65.74,54.952,2.389,0,1.0,0,0.0,0,19,qwen25-7b-budgeted-12000,0.5
django__django-11299,SU-full,12000,1,django__django,,Submitted,False,silent_crash,15,137361,136047,1314,49.06,42.126,2.808,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11292,OTRC+TR,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,982334,968605,13729,429.23,410.678,3.285,1,0.49273436851282904,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-11292,TRC+SU,12000,2,django__django,False,Submitted,True,submitted_unresolved,111,888597,879144,9453,467.61,274.917,2.477,3,0.661828414095711,11994,5.285,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,SS,12000,2,django__django,,Submitted,False,silent_crash,15,98996,97840,1156,42.3,35.088,2.339,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11292,SS-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,992256,975418,16838,519.51,458.346,3.696,2,0.3462189496419945,18167,29.686,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11292,TRC+SU,12000,1,django__django,False,Submitted,True,submitted_unresolved,88,705811,695438,10373,591.72,305.297,3.55,3,0.6374347392057716,11844,7.208,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11292,SU-full,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,870629,854715,15914,644.47,448.426,3.587,1,0.12342158859470469,11599,4.346,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11292,TR,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1088034,1063923,24111,722.76,701.212,5.61,3,0.4964331251699281,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,SU-full,12000,2,django__django,False,Submitted,True,submitted_unresolved,64,483553,472399,11154,839.05,197.468,3.134,1,0.38301546778795614,12126,120.468,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,TR,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1120258,1107514,12744,404.48,383.458,3.068,3,0.4917633382352353,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,TRC,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1147370,1136078,11292,356.58,330.792,2.646,3,0.4946249919881396,0,0.0,3,0,qwen25-7b-budgeted-12000,0.5
