task_name,primitive,token_budget,depth,run_num,repo,resolved,exit_status,patch_generated,failure_mode,step_count,total_tokens_consumed,total_prompt_tokens,total_completion_tokens,latency_e2e_s,latency_llm_s,mean_step_latency_s,compression_events,mean_compression_ratio,summarization_prompt_tokens,summarization_latency_s,trc_fallback_events,online_trc_clears
django__django-17084,FC,999999999,0.5,2,django__django,False,,False,silent_crash,87,1565608,1556255,9353,1500.01,704.439,8.487,0,1.0,0,0.0,0,0
sympy__sympy-12419,FC,999999999,0.5,2,sympy__sympy,False,,False,silent_crash,101,1897949,1879220,18729,1500.0,1357.703,13.443,0,1.0,0,0.0,0,0
sympy__sympy-12489,FC,999999999,0.5,1,sympy__sympy,False,,False,silent_crash,101,1832713,1818062,14651,1500.0,1106.279,11.175,0,1.0,0,0.0,0,0
sympy__sympy-12489,FC,999999999,0.5,2,sympy__sympy,False,,False,silent_crash,111,3106183,3090451,15732,1500.01,1196.036,10.873,0,1.0,0,0.0,0,0
sympy__sympy-13878,FC,999999999,0.5,1,sympy__sympy,False,LimitsExceeded,False,limits_exceeded,125,2471573,2461146,10427,1453.68,837.563,6.865,0,1.0,0,0.0,0,0
sympy__sympy-13878,FC,999999999,0.5,2,sympy__sympy,False,,False,silent_crash,115,2620370,2603843,16527,1500.02,1220.92,10.71,0,1.0,0,0.0,0,0
sympy__sympy-15349,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,25,174883,165497,9386,471.85,457.582,18.303,0,1.0,0,0.0,0,0
sympy__sympy-14248,FC,999999999,0.5,1,sympy__sympy,False,,False,silent_crash,88,1102424,1091829,10595,1500.0,756.543,9.115,0,1.0,0,0.0,0,0
sympy__sympy-16450,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,27,232587,226303,6284,309.33,261.411,10.054,0,1.0,0,0.0,0,0
sympy__sympy-14248,FC,999999999,0.5,2,sympy__sympy,False,,False,silent_crash,73,819932,810542,9390,1500.0,727.694,10.701,0,1.0,0,0.0,0,0
sympy__sympy-15349,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,31,263086,252482,10604,557.34,525.95,17.532,0,1.0,0,0.0,0,0
sympy__sympy-14531,FC,999999999,0.5,1,sympy__sympy,False,LimitsExceeded,False,limits_exceeded,125,2274209,2260813,13396,1136.42,870.71,7.022,0,1.0,0,0.0,0,0
sympy__sympy-14711,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,78,935104,922230,12874,1007.9,833.085,10.819,0,1.0,0,0.0,0,0
sympy__sympy-14531,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,114,2083303,2069011,14292,1151.86,972.753,8.608,0,1.0,0,0.0,0,0
sympy__sympy-18211,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,39,339911,334431,5480,284.58,269.673,6.915,0,1.0,0,0.0,0,0
sympy__sympy-18211,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,48,457742,451448,6294,355.25,319.336,6.794,0,1.0,0,0.0,0,0
sympy__sympy-17318,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,38,515152,506712,8440,454.73,416.773,11.264,0,1.0,0,0.0,0,0
sympy__sympy-19954,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,22,169777,165020,4757,236.7,218.106,9.914,0,1.0,0,0.0,0,0
sympy__sympy-15875,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,58,856039,838358,17681,925.08,847.722,14.872,0,1.0,0,0.0,0,0
sympy__sympy-16450,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,44,521518,514926,6592,688.13,321.487,7.841,0,1.0,0,0.0,0,0
sympy__sympy-14711,FC,999999999,0.5,1,sympy__sympy,False,,False,silent_crash,66,891639,875718,15921,1500.0,878.288,13.941,0,1.0,0,0.0,0,0
sympy__sympy-19954,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,29,215650,210898,4752,422.51,220.671,7.881,0,1.0,0,0.0,0,0
sympy__sympy-20916,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,54,616326,608134,8192,439.39,422.678,7.975,0,1.0,0,0.0,0,0
sympy__sympy-24661,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,25,179635,175200,4435,231.68,204.809,8.905,0,1.0,0,0.0,0,0
sympy__sympy-24661,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,44,534595,527198,7397,375.59,351.451,8.173,0,1.0,0,0.0,0,0
sympy__sympy-15875,FC,999999999,0.5,1,sympy__sympy,False,,False,silent_crash,45,538298,522444,15854,1500.01,733.004,17.878,0,1.0,0,0.0,0,0
sympy__sympy-17318,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,59,922431,910626,11805,1358.31,568.763,10.341,0,1.0,0,0.0,0,0
sympy__sympy-19040,FC,999999999,0.5,1,sympy__sympy,False,,False,silent_crash,71,1305440,1286507,18933,1500.0,882.766,13.176,0,1.0,0,0.0,0,0
sympy__sympy-19040,FC,999999999,0.5,2,sympy__sympy,False,,False,silent_crash,70,1581660,1554232,27428,1500.01,1254.408,18.447,0,1.0,0,0.0,0,0
sympy__sympy-20438,FC,999999999,0.5,1,sympy__sympy,False,Submitted,True,submitted_unresolved,107,2022087,2004125,17962,1408.16,896.02,8.785,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-14141,FC,999999999,0.5,2,scikit-learn__scikit-learn,True,Submitted,True,resolved,16,89048,87188,1860,93.39,70.579,4.411,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-14141,FC,999999999,0.5,1,scikit-learn__scikit-learn,True,Submitted,True,resolved,20,137054,134822,2232,113.2,90.825,4.541,0,1.0,0,0.0,0,0
sympy__sympy-20438,FC,999999999,0.5,2,sympy__sympy,False,,False,silent_crash,60,842711,834552,8159,1500.01,399.506,8.153,0,1.0,0,0.0,0,0
sympy__sympy-20916,FC,999999999,0.5,1,sympy__sympy,False,,False,silent_crash,49,479536,469546,9990,1500.01,465.025,11.072,0,1.0,0,0.0,0,0
sympy__sympy-22456,FC,999999999,0.5,1,sympy__sympy,False,,False,silent_crash,42,457947,453680,4267,1500.01,222.368,6.353,0,1.0,0,0.0,0,0
sympy__sympy-22456,FC,999999999,0.5,2,sympy__sympy,False,,False,silent_crash,44,389722,381795,7927,1500.01,377.833,10.212,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-14053,FC,999999999,0.5,2,scikit-learn__scikit-learn,True,Submitted,True,resolved,57,811775,803792,7983,560.9,382.05,6.946,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-14629,FC,999999999,0.5,2,scikit-learn__scikit-learn,True,Submitted,True,resolved,54,776930,769693,7237,392.22,329.564,6.218,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-13124,FC,999999999,0.5,1,scikit-learn__scikit-learn,False,,False,silent_crash,49,954687,926200,28487,1500.01,1231.036,26.192,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-14710,FC,999999999,0.5,1,scikit-learn__scikit-learn,False,Submitted,True,submitted_unresolved,70,1025068,1017096,7972,656.52,460.315,6.769,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-14053,FC,999999999,0.5,1,scikit-learn__scikit-learn,False,,False,silent_crash,44,558605,544116,14489,1500.01,737.56,18.439,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-25232,FC,999999999,0.5,1,scikit-learn__scikit-learn,True,Submitted,True,resolved,52,1122893,1111037,11856,743.83,695.573,13.376,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-14087,FC,999999999,0.5,2,scikit-learn__scikit-learn,False,Submitted,True,submitted_unresolved,49,623553,608861,14692,1424.11,854.574,18.991,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-25232,FC,999999999,0.5,2,scikit-learn__scikit-learn,True,Submitted,True,resolved,85,2025822,2012659,13163,923.73,887.4,10.564,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-14629,FC,999999999,0.5,1,scikit-learn__scikit-learn,False,,False,silent_crash,47,463067,456171,6896,1500.02,324.993,7.558,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-14710,FC,999999999,0.5,2,scikit-learn__scikit-learn,False,LimitsExceeded,False,limits_exceeded,125,2761504,2747663,13841,1379.31,981.554,7.916,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-25931,FC,999999999,0.5,1,scikit-learn__scikit-learn,True,Submitted,True,resolved,66,1066451,1052785,13666,1059.64,961.045,15.501,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-25102,FC,999999999,0.5,1,scikit-learn__scikit-learn,False,,False,silent_crash,104,2822180,2804262,17918,1500.0,1250.954,12.145,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-25931,FC,999999999,0.5,2,scikit-learn__scikit-learn,False,Submitted,True,submitted_unresolved,51,572767,564218,8549,950.31,596.856,12.435,0,1.0,0,0.0,0,0
